ags,ort,plz,landkreis,bundesland
08335001,Aach,78267,Landkreis Konstanz,Baden-Württemberg
07235001,Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz
05334002,Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen
05334002,Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen
08136088,Aalen,73430,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73431,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73432,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73433,Ostalbkreis,Baden-Württemberg
08136088,Aalen,73434,Ostalbkreis,Baden-Württemberg
06439001,Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen
01061001,Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein
09576111,Abenberg,91183,Landkreis Roth,Bayern
09273111,Abensberg,93326,Landkreis Kelheim,Bayern
07134001,Abentheuer,55767,Landkreis Birkenfeld,Rheinland-Pfalz
09577111,Absberg,91720,Landkreis Weißenburg-Gunzenhausen,Bayern
08125001,Abstatt,74232,Landkreis Heilbronn,Baden-Württemberg
16065001,Abtsbessingen,99713,Kyffhäuserkreis,Thüringen
08136002,Abtsgmünd,73453,Ostalbkreis,Baden-Württemberg
06431001,Abtsteinach,69518,Kreis Bergstraße,Hessen
09675111,Abtswind,97355,Landkreis Kitzingen,Bayern
07133001,Abtweiler,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz
08436001,Achberg,88147,Landkreis Ravensburg,Baden-Württemberg
08317001,Achern,77855,Ortenaukreis,Baden-Württemberg
03361001,Achim,28832,Landkreis Verden,Niedersachsen
09276111,Achslach,94250,Landkreis Regen,Bayern
08426001,Achstetten,88480,Landkreis Biberach,Baden-Württemberg
07137001,Acht,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
07134002,Achtelsbach,55767,Landkreis Birkenfeld,Rheinland-Pfalz
01058001,Achterwehr,24239,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
01054001,Achtrup,25917,Kreis Nordfriesland,Schleswig-Holstein
08117001,Adelberg,73099,Landkreis Göppingen,Baden-Württemberg
03159001,Adelebsen,37139,Landkreis Göttingen,Niedersachsen
03351001,Adelheidsdorf,29352,Landkreis Celle,Niedersachsen
08136003,Adelmannsfelden,73486,Ostalbkreis,Baden-Württemberg
09176111,Adelschlag,85111,Landkreis Eichstätt,Bayern
09572111,Adelsdorf,91325,Landkreis Erlangen-Höchstadt,Bayern
08225001,Adelsheim,74740,Neckar-Odenwald-Kreis,Baden-Württemberg
09571111,Adelshofen,91587,Landkreis Ansbach,Bayern
09179111,Adelshofen,82276,Landkreis Fürstenfeldbruck,Bayern
09772111,Adelsried,86477,Landkreis Augsburg,Bayern
09771111,Adelzhausen,86559,Landkreis Aichach-Friedberg,Bayern
07131001,Adenau,53518,Landkreis Ahrweiler,Rheinland-Pfalz
07336001,Adenbach,67742,Landkreis Kusel,Rheinland-Pfalz
03151001,Adenbüttel,38528,Landkreis Gifhorn,Niedersachsen
03355001,Adendorf,21365,Landkreis Lüneburg,Niedersachsen
09274111,Adlkofen,84166,Landkreis Landshut,Bayern
